Lch,Wch,Tch,Tox1,Tox2,Ion_N,Ioff_N,Vth_N,SS_N,Ion_P,Ioff_P,Vth_P,SS_P
26.26,60.28,4.37,0.67,1.65,5.35484414657073e-5,4.7550280375923e-11,0.2348303343589134,63.117216755823605,3.25515356103562e-5,2.48172754708408e-11,-0.2476921914582902,67.97593080713429
24.6,50.02,4.16,0.3,1.88,6.16440602913151e-5,3.66857706476445e-11,0.241439483762565,67.8885109973777,3.55409108946322e-5,1.89182405843523e-11,-0.2501423623876699,67.25614499062249
24.6,50.88,7.13,0.64,1.66,6.20644130660459e-5,1.11293791718776e-10,0.2025271447299557,62.1142910629193,4.06231954692244e-5,6.11886626916549e-11,-0.2306111872902779,57.62859415865651
26.43,68.03,4.14,1.15,2.06,4.86681405514262e-5,6.46673222520792e-11,0.2223925666896194,54.08670478446911,3.06532938235628e-5,3.44138826289415e-11,-0.2457507436163559,68.57464582355671
20.02,65.88,7.78,0.22,1.65,9.40745310727963e-5,2.37264065337934e-10,0.1837975495560769,66.5114090724339,5.91807826682454e-5,1.28868575994534e-10,-0.1995469747446815,64.60661900835191
30.93,35.46,5.11,0.68,1.75,3.5611622310701e-5,2.6814984302772e-11,0.2448732776516716,68.0090583788043,-999.0,-999.0,-999.0,-999.0
28.99,18.92,4.56,0.84,1.62,1.82132818368744e-5,1.29389391785461e-11,0.2569974745279737,67.53890154818043,1.07829123397253e-5,6.42111094948835e-12,-0.2779783178194468,65.94958223331193
25.25,38.81,7.78,0.84,1.78,4.42848862382592e-5,1.16349623467482e-10,0.2064841183665294,64.58865605050151,3.0075971367171e-5,6.68454125720969e-11,-0.2392356207119739,69.26237344390441
26.13,67.7,4.86,0.96,2.04,5.52590533222224e-5,8.04232304594097e-11,0.2261126020610179,71.6382128599771,3.47555688484031e-5,4.25265425766098e-11,-0.243947720487839,68.48516538933691
19.54,39.95,4.57,0.86,1.85,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
17.69,72.5,5.63,0.76,1.61,8.3914228907722e-5,3.05474517838557e-10,0.1820393927463295,68.15559165323918,-999.0,-999.0,-999.0,-999.0
25.83,54.03,6.74,0.78,1.71,5.96039164554377e-5,1.03759191008774e-10,0.2219867604009282,78.83759958628661,3.53283928063115e-5,5.52592357247874e-11,-0.2375002154464687,64.72078878880811
18.92,42.76,4.62,0.43,1.61,4.2938105731873e-5,5.85211556123684e-11,0.2292874342822772,58.426820693159605,-999.0,-999.0,-999.0,-999.0
18.92,32.76,7.4,0.36,1.96,4.26366043958454e-5,1.46910566863298e-10,0.2083544871290094,61.0521782379016,2.67960878961481e-5,8.1640885527162e-11,-0.2257488416980576,64.50910929349548
21.01,76.81,5.75,0.25,1.93,9.45789360433262e-5,1.31392619815229e-10,0.193482782831293,62.0056339640637,-999.0,-999.0,-999.0,-999.0
23.34,16.89,4.47,0.59,1.55,2.02022941318036e-5,1.39196185386819e-11,0.2561195823591478,67.65914750119408,1.18904018059415e-5,7.23237122947469e-12,-0.2743168179486327,66.11828761200991
30.01,59.15,4.19,1.11,1.89,4.45067853865087e-5,4.2302290541677e-11,0.2408393930838107,68.14647276917619,2.8156247438687e-5,2.10001596870804e-11,-0.2503899695919728,68.20705740766988
32.77,70.02,6.68,0.73,2.07,7.00021968627033e-5,7.88223813281959e-11,0.2101621596491604,56.60295073750179,4.48365934173906e-5,3.94916908550671e-11,-0.2429427288005787,68.32917847149281
30.56,18.98,7.46,0.83,1.68,2.23059711032286e-5,2.27343238681962e-11,0.2489851513240404,68.95965814900597,1.40520689490061e-5,1.1335446799378e-11,-0.2646517153226238,69.36016124487281
33.0,45.39,4.26,0.52,2.13,4.71104382644291e-5,2.55853294069306e-11,0.2446143137758161,67.5916473986152,2.78709087204581e-5,1.24201608021146e-11,-0.2564927427326523,66.44804374530702
18.64,63.07,5.85,0.76,1.54,6.39868125336305e-5,2.28208735538219e-10,0.1872192504222733,67.34898654504111,-999.0,-999.0,-999.0,-999.0
22.13,15.82,4.95,0.4,1.87,2.03522687783487e-5,1.53621028832655e-11,0.2535543535978975,67.44237434025072,1.211884896735e-5,7.91714818711784e-12,-0.2763663172360173,60.6110420659505
22.5,41.69,5.02,0.31,1.67,4.98011549187928e-5,4.40928069857393e-11,0.2404250617733989,68.0899052324634,3.10026474007567e-5,2.30585205627665e-11,-0.2488144165199372,67.94729293889509
34.97,25.74,7.64,0.23,2.07,4.33007592821145e-5,2.4312112852284e-11,0.2457124161270841,67.86355940060582,-999.0,-999.0,-999.0,-999.0
22.02,71.03,4.36,0.36,1.92,7.56415521352154e-5,6.89638274341127e-11,0.2138910193845195,53.4014664938319,4.58478673343234e-5,3.56943294517509e-11,-0.2443388566163661,68.06816012005679
17.62,54.27,4.52,1.05,2.13,5.07016204742401e-5,2.02193656364645e-10,0.1928481182448535,68.06145364873821,3.03461572091889e-5,2.73064724076003e-17,-0.1768851489472374,29.914944770451285
34.87,60.59,7.69,1.12,2.13,5.06774320569304e-5,8.67515493075702e-11,0.2114077930382578,59.75484346517359,3.17285439555201e-5,4.44039434116595e-11,-0.2432179886624241,68.85678099428011
29.5,43.11,4.6,0.31,1.8,4.82141108079092e-5,2.85286706502471e-11,0.2432808583524197,67.59847721563789,2.81260300685242e-5,5.90331957142789e-13,-0.2648088287970969,68.30942464010067
29.5,18.23,6.06,0.44,1.53,2.3246079391761e-5,1.58598057069454e-11,0.2522701664403812,67.5006144880749,1.48851813861329e-5,7.72583232358685e-12,-0.2697686476348874,65.76371311055698
31.41,33.3,6.11,0.91,1.67,3.29319959012315e-5,3.33929720329334e-11,0.2435443767586774,68.4928920116448,2.11329373142299e-5,1.67479065902787e-11,-0.2551403982453571,68.83720443880212
32.87,22.43,4.67,0.4,1.92,2.74352123459682e-5,6.67250078440257e-12,0.2638675208387208,68.29239052450828,1.58150891933682e-5,6.25785620521382e-12,-0.2743452139397735,63.46037815759392
24.45,74.46,5.82,0.25,1.97,0.000100829346405334,9.22486448867527e-11,0.2022298197016376,57.87421207768698,6.15281892825294e-5,4.89995701442615e-11,-0.2310650513474401,57.02704417938731
28.55,64.39,6.94,0.32,1.98,7.86395029127759e-5,8.30234647677385e-11,0.2065109597870136,56.7815405629786,-999.0,-999.0,-999.0,-999.0
18.02,55.72,5.43,0.7,2.1,6.20035874230395e-5,2.11007535247061e-10,0.2077996731583397,85.48751969428439,3.5411188820263e-5,1.18329664842775e-10,-0.2086710299694614,66.32011355789871
18.84,52.31,4.45,1.07,2.17,4.22944598833818e-5,1.51267244687858e-10,0.2088043747229623,68.17115303228258,2.67977202245085e-5,8.53388567820683e-11,-0.2238193575191143,64.6739051856629
20.65,64.71,6.44,0.79,2.2,6.4384108220959e-5,3.22975349007397e-10,0.1822486193263937,68.83350571167769,4.18394834131707e-5,1.71767666834861e-10,-0.1981163048507017,68.01251117200161
28.42,55.05,5.9,0.88,2.2,4.84932808337066e-5,7.33874146048083e-11,0.2170306817233888,56.6514922673198,3.11003048861332e-5,3.82279292403027e-11,-0.245094891747349,68.68942654956881
28.42,35.0,6.02,0.8,2.19,3.33367885850033e-5,4.43555670037794e-11,0.2413391790978537,68.5261546668478,2.0971389480527e-5,2.29815831366071e-11,-0.2512811286301761,69.2632505154143
34.4,16.75,5.55,0.5,2.19,2.18632960466847e-5,1.10404130417153e-11,0.2596087516451421,66.66937109913887,1.32504364352377e-5,5.41931964991644e-12,-0.2822367362333398,63.89752490196379
34.4,68.46,4.97,0.83,1.73,6.31920598160673e-5,4.57497180368231e-11,0.2354672677758733,63.63159273306998,4.10937523998601e-5,2.27253082018744e-11,-0.2483061472208777,67.84480536129311
31.47,61.25,4.8,0.31,1.5,7.2871508254813e-5,3.85984471208948e-11,0.2406422129660727,67.81515991994257,4.35105891171559e-5,1.87951818284474e-11,-0.2485229390981316,66.839371212708
27.09,60.67,6.48,1.02,2.1,5.19688564511406e-5,1.27601679780671e-10,0.1998766450851536,63.982990857641084,3.38433632343976e-5,6.69289796190528e-11,-0.2279964123959828,59.999954511854305
15.39,34.53,6.71,0.36,1.87,4.87150440136793e-5,2.31751655542046e-10,0.1908021715133837,68.85054088184239,3.07819264212087e-5,1.39819875288204e-10,-0.2087229151973176,69.22520240327299
34.65,25.57,6.83,0.81,2.12,2.71904675965694e-5,2.4283064896613e-11,0.247312090802162,68.66298505553239,-999.0,-999.0,-999.0,-999.0
