ResNet (SiLU/32) | L:0.2 W:50 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.36259 (Epoch 1270)
ResNet (SiLU/32) | L:0.2 W:50 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.36270 (Epoch 1260)
ResNet (SiLU/128) | L:0.2 W:100 R:200 LR:0.0005 WD:1e-05 --> Test Loss: 0.36281 (Epoch 670)
ResNet (SiLU/32) | L:0.2 W:100 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.36338 (Epoch 1210)
ResNet (SiLU/128) | L:2.0 W:50 R:600 LR:0.0005 WD:1e-05 --> Test Loss: 0.36349 (Epoch 840)
ResNet (SiLU/32) | L:0.5 W:150 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.36362 (Epoch 1280)
ResNet (SiLU/128) | L:0.2 W:100 R:600 LR:0.0005 WD:1e-05 --> Test Loss: 0.36374 (Epoch 870)
ResNet (SiLU/128) | L:0 W:50 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.36527 (Epoch 930)
ResNet (SiLU/128) | L:0 W:50 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.36527 (Epoch 930)
ResNet (SiLU/128) | L:0 W:50 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.36527 (Epoch 930)
ResNet (SiLU/128) | L:0 W:100 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.36527 (Epoch 930)
ResNet (SiLU/128) | L:0 W:100 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.36527 (Epoch 930)
ResNet (SiLU/128) | L:0 W:100 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.36527 (Epoch 930)
ResNet (SiLU/128) | L:0 W:150 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.36527 (Epoch 930)
ResNet (SiLU/128) | L:0 W:150 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.36527 (Epoch 930)
ResNet (SiLU/128) | L:0 W:150 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.36527 (Epoch 930)
ResNet (SiLU/128) | L:2.0 W:100 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.36584 (Epoch 1020)
ResNet (SiLU/128) | L:0.2 W:100 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.36593 (Epoch 890)
ResNet (SiLU/128) | L:0.5 W:50 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.36697 (Epoch 890)
ResNet (SiLU/128) | L:0.5 W:150 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.36697 (Epoch 960)
ResNet (GELU/32) | L:0.2 W:50 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.36710 (Epoch 880)
ResNet (SiLU/128) | L:2.0 W:50 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.36712 (Epoch 890)
ResNet (GELU/32) | L:0.2 W:100 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.36720 (Epoch 870)
ResNet (SiLU/128) | L:0.2 W:100 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.36741 (Epoch 920)
ResNet (SiLU/128) | L:0.2 W:50 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.36762 (Epoch 850)
ResNet (SiLU/128) | L:2.0 W:50 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.36773 (Epoch 890)
ResNet (SiLU/128) | L:0.5 W:150 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.36773 (Epoch 880)
