Lch,Wch,Tox1,Tox2,Ion_N,Ioff_N,Vth_N,SS_N,Ion_P,Ioff_P,Vth_P,SS_P
38.12,45.0,0.6,1.84,8.57952425445784e-6,4.97765175473423e-11,0.2224964755935474,61.150731607504696,9.87177894816452e-6,8.38321541479759e-11,-0.2028330277687161,59.109734974391145
22.56,49.34,1.47,1.95,9.23483536302946e-6,1.32640306307963e-10,0.218964176580554,61.617275258391366,1.11435105574055e-5,1.0664723540555e-9,-0.1560303902062739,59.65904104978704
19.66,24.46,0.97,1.3,5.48905146097997e-6,6.36034960764556e-11,0.2196203218851087,62.086363255503706,5.22316979869444e-6,2.03181716869457e-10,-0.1834465636907587,60.985208828534816
13.72,71.44,0.26,1.66,1.99610054196179e-5,2.66776692809077e-10,0.2174999130107809,61.86995247997504,1.61722329376854e-5,2.35794392059123e-10,-0.2185590013784435,61.60376290338421
27.43,41.03,0.97,2.75,7.634386803977e-6,8.23743462453627e-11,0.2193077481966608,61.88055456687114,8.64706390602099e-6,3.48870896643538e-10,-0.1741266325288956,59.80618449504509
31.1,25.91,0.74,1.6,5.19974763960323e-6,3.58205245171739e-11,0.2227045335390077,61.381580821941476,5.47134081733689e-6,6.99439699310601e-11,-0.1987979930000434,60.84089780484564
13.29,64.37,1.28,1.27,1.53277195555556e-5,3.52012475156596e-10,0.2150037949200393,61.2078632343841,1.44986905655224e-5,2.48760785171498e-9,-0.1590389077283485,60.79227165059831
32.64,82.1,0.84,3.0,1.43994933396619e-5,1.3206994726086e-10,0.2198797941941727,62.04964744941365,1.78425946710568e-5,4.917517345322e-10,-0.178052852753414,61.24125212371268
40.64,29.66,0.52,1.68,5.78626878931201e-6,3.00468937277386e-11,0.2221477298008756,60.85402882510706,6.24083992943053e-6,4.25618274172423e-11,-0.2079935582628323,59.28177392821978
38.44,52.35,0.97,2.1,8.30856738971946e-6,6.17340251360244e-11,0.2231403507410422,61.952217136231916,1.08639929407859e-5,2.07944862661795e-10,-0.1829720485989791,60.10273697388539
41.92,13.01,1.06,2.81,1.98639516787083e-6,1.43539093706363e-11,0.2227770025132499,62.133920183136766,2.63481348657918e-6,6.66337998748276e-11,-0.1747334359528225,60.010857445357324
7.48,96.75,0.61,1.66,2.80178590637979e-5,1.54763547871863e-9,0.205423076320598,63.870571566336174,2.17495511179788e-5,2.5429432002671e-9,-0.1875814700116126,63.401426792583216
33.16,76.12,0.8,2.56,1.36442139060605e-5,1.1262398729368e-10,0.2208355523659271,62.33669926680681,1.69329959792537e-5,3.40874563205277e-10,-0.1851532524864199,60.008122319787624
11.29,50.69,0.21,1.84,1.47011681986709e-5,2.7664132675312e-10,0.2139620457656919,60.910242228532184,1.13602705559812e-5,2.7086104773254e-10,-0.2114810972338328,60.03734244200432
29.42,73.9,0.53,1.56,1.60060484739476e-5,1.08406813916461e-10,0.2212570170521132,61.32070545349329,1.62394140145935e-5,1.55509044851945e-10,-0.2072333285335958,58.98451851181458
43.37,17.74,1.01,2.48,2.74103627885251e-6,1.83439173689104e-11,0.223337389065718,61.85826194356336,3.77749745272358e-6,6.7104014930629e-11,-0.1810875742959232,60.80191866362444
36.67,42.3,0.98,1.95,7.16572503117513e-6,5.17043120853011e-11,0.2233684735735233,61.86519697407622,9.21277811334564e-6,1.7449776784641e-10,-0.1833542567571128,60.01175505452465
28.08,13.35,1.47,1.87,2.30191854140211e-6,2.47352153398552e-11,0.2212688501157414,62.28113508157703,2.61719960741119e-6,1.69786539985325e-10,-0.1621287311395744,61.577842168003876
23.36,41.79,1.05,2.44,8.06064486592754e-6,1.04482254154842e-10,0.2182653785107694,61.588621888981535,8.73280026845698e-6,4.57030108592739e-10,-0.1728902285737793,59.383519597129165
12.52,88.25,1.41,1.35,2.10865247403248e-5,6.9576051147653e-10,0.2096078720436661,63.870692706111164,1.995382892886e-5,5.7707113074559e-9,-0.1457674082289861,62.056139951341756
11.68,17.18,0.29,2.18,4.83842535790987e-6,1.0203053459649e-10,0.2121553568181768,60.42580345461861,3.71954212102922e-6,1.24240299271558e-10,-0.2040101208163081,61.37044960180474
17.12,33.83,0.81,1.9,7.86160173140748e-6,1.11496547425517e-10,0.2179821400582908,61.67036982518638,7.28162913050186e-6,3.27134391968521e-10,-0.1850113459701784,61.36964516373882
35.94,89.88,1.3,2.38,1.364379385347e-5,1.23813625481071e-10,0.2230821073174457,62.611692275452974,1.9413947493318e-5,9.26700002382626e-10,-0.1609557283381471,61.36745570158327
22.33,88.32,1.1,2.12,1.75933620168158e-5,2.27034335472846e-10,0.2189703059479706,61.74210083074341,1.96350009863905e-5,1.01487001641575e-9,-0.1726784135129274,59.316195464296634
28.56,63.7,1.17,2.47,1.13067731251194e-5,1.22087073652133e-10,0.2200263544105866,61.93968795163997,1.37855700667243e-5,6.92891541067497e-10,-0.1660939848564602,60.68842278449992
14.19,65.06,1.22,2.26,1.46814157034348e-5,4.26266356780539e-10,0.2112920301610801,63.5413909637321,1.41875698328709e-5,3.50612802733112e-9,-0.1495008886897177,63.738547480780994
37.31,99.11,1.11,2.8,1.52876385364711e-5,1.33853171282358e-10,0.2220336337220712,62.42027502218161,2.18285179095888e-5,7.69821634043311e-10,-0.1676327928337558,59.99600132835016
44.01,57.88,0.35,1.82,1.14803816178714e-5,5.25886202334241e-11,0.2223111840547204,60.52024209452282,1.27406669484125e-5,5.37459371323115e-11,-0.2163759026476813,60.32442901894775
30.83,69.42,0.39,1.91,1.52334212363814e-5,9.65421118673206e-11,0.2212758601921995,61.24024303733146,1.54232799556659e-5,1.12935705053171e-10,-0.2122452428581404,60.77750498964879
26.26,90.59,0.5,1.49,2.07990839801697e-5,1.47311010777303e-10,0.2217883662939044,61.23934808537135,1.9983702773911e-5,1.89217917552882e-10,-0.2100487570817482,59.87794231468882
21.82,89.93,0.62,2.08,2.02076465460247e-5,2.07920236330805e-10,0.2193568572576416,62.12229077516129,1.99188058745967e-5,3.9161803880785e-10,-0.1972111426515361,61.55580222912967
35.66,54.02,1.45,1.21,8.49841880648582e-6,6.83015541481842e-11,0.2246990777262018,62.04919728880737,1.19604485515262e-5,4.25828532779291e-10,-0.1677750391709728,59.49125013609605
12.51,56.66,0.39,1.58,1.58159898473934e-5,2.69198731263112e-10,0.2144785706564489,60.91712728153197,1.25781467543509e-5,3.56070213454439e-10,-0.2044263212311687,60.534641848449866
23.89,92.42,1.39,2.99,1.64397492782054e-5,2.76209825976325e-10,0.2162054833170169,61.021550345020714,2.05229467274251e-5,2.59755603390386e-9,-0.1477386177192667,62.00807826452296
14.51,76.59,1.13,1.58,1.80840108377263e-5,3.65336511179454e-10,0.2152927028076542,60.85246438139259,1.68000043820179e-5,1.93936284753904e-9,-0.1666576773911534,62.8351140250587
40.6,25.41,1.05,1.56,4.1304758885234e-6,2.69763377586581e-11,0.223677279433876,61.4661031358726,5.30954927847288e-6,9.48301111747148e-11,-0.1829916727350234,59.98351683416222
21.71,78.15,0.33,2.72,1.80719421826185e-5,1.98810952712657e-10,0.2167802242790156,61.59320768965536,1.66420184302754e-5,2.54320007726038e-10,-0.2065768966324643,59.42244366495616
10.41,24.27,0.43,1.7,6.87242062693736e-6,1.5476070853731e-10,0.2139451096748663,60.79509006375303,5.06782014055098e-6,2.12868870186613e-10,-0.2023379378953293,62.01025507056014
10.92,67.85,0.46,1.26,1.91095590309761e-5,3.52476696133728e-10,0.2162867835690244,61.38620231680667,1.50536595800122e-5,4.71008380338886e-10,-0.206484088300306,60.250297363105915
14.95,59.96,0.79,2.04,1.45612108595591e-5,2.70064254417064e-10,0.2146746638464344,60.827895565967864,1.35756112609045e-5,8.2141289855567e-10,-0.1809506560709333,62.14162639189262
11.85,21.78,0.7,2.75,5.60334030450014e-6,2.03759332506533e-10,0.2069774347056227,64.63377621031314,4.72126393527969e-6,6.41483479440256e-10,-0.1703175441970381,62.81911809685852
33.09,95.4,0.68,1.23,1.93317020050624e-5,1.18486250771562e-10,0.2232224588400044,60.91841048375343,2.11597065612254e-5,1.91559539017243e-10,-0.2053498879356071,58.579360405890995
20.16,78.88,0.46,1.38,1.97384409358596e-5,1.79529720006081e-10,0.2195325396087058,61.85188442393682,1.76413864655236e-5,2.33025617738127e-10,-0.2090163778791046,59.46440795314159
27.07,61.35,1.07,2.49,1.12343203061858e-5,1.23188984015338e-10,0.2200715314549324,62.00517351422639,1.360433340441e-5,5.83227752746591e-10,-0.1719798528412537,59.096696566827305
43.72,72.59,0.81,2.48,1.14691316668531e-5,7.44712428884155e-11,0.2228937702497605,61.82577209400536,1.60727343817241e-5,2.1128967085337e-10,-0.1886361899245086,58.82634750307056
35.39,86.59,1.39,2.28,1.30739528390917e-5,1.25888116574042e-10,0.2219376206267969,62.276589285088555,1.92616736656777e-5,1.04220545688311e-9,-0.1576960367414301,60.26487755059162
11.6,50.29,1.41,1.86,1.19561104061981e-5,5.6811978684204e-10,0.205958781638475,63.866732410274906,1.12327833149656e-5,5.01513264815377e-9,-0.1390057398808625,62.478552254368196
11.6,77.55,1.02,2.87,1.8629330359643e-5,1.08283112575215e-9,0.2014856427481422,64.30615603585137,1.73285732186586e-5,7.03798272044041e-9,-0.1427045625045044,63.27550052678592
37.42,62.43,0.24,2.97,1.25202354581472e-5,7.75648400503978e-11,0.2194192946894685,61.955689435151434,1.3800938781706e-5,9.07956162026515e-11,-0.2099615472698389,60.02557192012101
17.82,62.84,1.14,2.66,1.31822002843675e-5,2.6937485578424e-10,0.2142123511397075,61.71181417583267,1.39676732488351e-5,1.96452406551857e-9,-0.1557382422553538,61.08935346282937
30.05,95.26,0.24,2.66,2.1185702425684e-5,1.56117593178367e-10,0.2175432917848772,61.81933864544829,2.1545864089191e-5,1.77370459346258e-10,-0.2096610291786303,59.85861424657671
13.17,18.75,0.68,1.72,4.91820117323697e-6,8.73274761347439e-11,0.2157466331917868,61.17326726269537,3.95031802911195e-6,2.00867716955792e-10,-0.1917640544114895,60.26861530820695
31.09,32.32,1.44,2.64,5.14597436502899e-6,5.70156683264394e-11,0.2214081748761622,62.15837123171396,6.83666687668351e-6,5.41812734750107e-10,-0.154095283255724,59.34898241308659
18.67,64.46,0.65,1.84,1.55140111287063e-5,1.81774905052047e-10,0.2183357561646654,61.87623574684183,1.47791298481548e-5,3.92290589179496e-10,-0.1933275340424985,60.22798188253764
23.77,53.82,0.68,2.09,1.18138153093686e-5,1.15086971413588e-10,0.2191392263579153,62.04462948673965,1.20695303331144e-5,2.30935138111635e-10,-0.1949406695489911,60.78740076982529
27.31,20.71,1.33,1.92,3.71702295442438e-6,3.9388714670824e-11,0.2213595306646046,62.294829399703374,4.40708652623012e-6,2.30930490022897e-10,-0.1665475514348919,60.472051594157826
11.21,90.77,0.49,2.68,2.40778352935894e-5,9.00254581908836e-10,0.2066616055290285,64.55692191903128,2.04347436058762e-5,2.0237149002198e-9,-0.1782021157023659,61.144474967548234
44.36,99.99,1.14,1.55,1.49373646556686e-5,9.63438558107897e-11,0.2246849917445412,61.477843322810365,2.19265554776291e-5,3.88696620242326e-10,-0.1794362235943504,61.19227475619169
27.84,11.82,0.7,2.33,2.4324810458719e-6,2.02607783646322e-11,0.2202902309817857,62.27988165322478,2.30027627196939e-6,4.34153226364439e-11,-0.1943160377867486,60.54503586061156
36.27,42.46,0.76,1.77,7.77824295215897e-6,4.98589028573521e-11,0.2232776426768336,61.313437246537745,9.21339247981307e-6,1.11002595690722e-10,-0.1951471680803918,60.86907423202112
41.54,33.93,1.4,2.64,4.71166939806886e-6,3.97630359170016e-11,0.2237639451484008,62.681988889955115,7.23249379025665e-6,3.30281135210005e-10,-0.1582304130268605,60.35948547784989
8.05,44.36,0.7,2.22,1.23174986271837e-5,9.75412881376116e-10,0.198363000110239,64.77535867663248,9.69919714575523e-6,2.15745653102771e-9,-0.1713528861969404,64.09342044261949
37.51,61.79,1.14,1.28,1.03125665866558e-5,7.06902011430577e-11,0.2244900582216898,61.507831029560826,1.36600212213582e-5,2.71011239864237e-10,-0.180764551973382,60.78420877679305
10.47,55.93,1.32,1.59,1.38411714656685e-5,6.57773822071e-10,0.2072025715661497,64.29631108592461,1.23388421216626e-5,4.52012200867249e-9,-0.1472655029065517,62.546203014438525
31.61,56.42,0.84,2.95,1.01480882994756e-5,9.27482285746108e-11,0.219955287362778,62.10456027272805,1.25624188959693e-5,3.35086065382966e-10,-0.179164582669677,61.62090166881384
26.67,21.51,1.37,2.9,3.75925259130214e-6,4.86112662668449e-11,0.2190899673757483,61.66024787562378,4.32916528080774e-6,3.80996025109253e-10,-0.1563600856729918,59.830854635806496
12.96,15.48,1.06,1.99,3.84342250145052e-6,1.06434148773595e-10,0.2099412071766784,62.91778945651394,3.04798141547954e-6,2.35950481210636e-9,-0.1249249458342848,63.929907672206134
18.49,41.29,0.62,1.53,1.00346113814567e-5,1.10487039606261e-10,0.2193425238824931,62.1706295042664,8.91739507645049e-6,1.95154888200383e-10,-0.1995340931158679,61.35356038357523
36.39,58.39,0.45,1.58,1.21105905386888e-5,6.46942320155908e-11,0.222739147749018,60.64996413707286,1.26956376232598e-5,7.67102978511358e-11,-0.2125233432581984,60.78520041685845
28.97,80.62,0.41,2.39,1.74663916535849e-5,1.32665949725776e-10,0.21915112740757,62.19233518642292,1.79414506504475e-5,1.91196152932322e-10,-0.2050322968278787,58.8711757818214
13.4,19.18,1.22,2.44,4.48260151956352e-6,1.37537638157949e-10,0.2108291688774793,63.82677499277076,4.15636085021887e-6,1.07803208840595e-9,-0.1511556470032915,64.08023976116982
42.87,58.86,1.14,1.57,9.01319419076626e-6,5.86231102609895e-11,0.2247440000534413,61.47576833938774,1.27978968533924e-5,2.308011690773e-10,-0.1802256199750047,60.98412128960076
10.65,80.92,1.5,1.83,1.92266017536713e-5,1.26230231999905e-9,0.2024607295544079,64.71369903049415,1.76073636151227e-5,1.39724485728308e-8,-0.1280685914663331,64.58598470796127
14.84,24.79,0.33,1.67,6.73059474917517e-6,8.51362569249852e-11,0.2175411515287215,61.85848866394997,5.24701701217817e-6,8.66076252607254e-11,-0.2144582139677433,61.23423725100223
38.26,34.88,0.53,1.65,6.87882434416918e-6,3.71840226696593e-11,0.2227742166612784,60.79056660792897,7.50684931612291e-6,5.24863466836676e-11,-0.2083411609625375,59.39620833749787
13.35,93.84,0.95,2.92,2.18815578652407e-5,7.86713441434613e-10,0.2083682639991097,64.86655472668932,2.04911419363985e-5,5.05605537160171e-9,-0.1531014205305531,63.956984286607735
16.67,38.51,1.46,2.21,8.21212741559055e-6,2.0274993404575e-10,0.2118137330715571,62.943931542933,8.42317691532768e-6,2.12960276724299e-9,-0.1427683930257635,61.47264086151263
37.47,22.85,0.6,1.39,4.54549539857626e-6,2.44035095985128e-11,0.223404888978655,60.616638205471865,4.83808287579856e-6,3.64815643610798e-11,-0.2075606408259771,59.1234968224564
17.86,98.22,0.82,2.08,2.24855561253264e-5,3.30812810917902e-10,0.2170134077704382,61.400963633318206,2.22332221711325e-5,1.06444391297298e-9,-0.1805501930089355,61.974368271323605
39.58,28.73,1.25,1.25,4.52391225087023e-6,3.13061477371258e-11,0.2243984031687078,61.54391359960513,5.99642745790528e-6,1.47124293544235e-10,-0.1756090237945336,60.196958339314016
44.64,38.0,0.85,1.55,6.31005327324989e-6,3.50095123842217e-11,0.2240956513386458,60.98751158160376,8.01279764729144e-6,8.27163914542522e-11,-0.1942111089566372,60.58610695351246
34.13,35.55,1.19,2.26,5.853306215037e-6,5.16696155203928e-11,0.221897976463458,62.42137512277517,7.78147562030935e-6,2.8631116595745e-10,-0.1695540188207893,59.466790112937915
29.5,11.54,0.69,2.1,2.34561875343127e-6,1.8043375714174e-11,0.2204448319534262,61.95470045715353,2.33898322041445e-6,3.68526171254802e-11,-0.1958863645438961,61.06473068542856
17.98,12.27,0.73,2.02,2.83372303888782e-6,3.69847477634831e-11,0.2180983649989975,61.82173521837897,2.50620471984017e-6,8.75568390417668e-11,-0.1913357031884326,59.56610637946608
18.88,68.74,0.97,2.74,1.47544484635106e-5,2.61265111283637e-10,0.2145892248723343,60.94542207608205,1.54601271220905e-5,1.39982644401136e-9,-0.1638548076492239,62.601333953297605
29.34,48.97,0.69,2.41,9.80620350939412e-6,8.27058305623834e-11,0.2194873635571632,62.11833861604675,1.07682382925281e-5,1.90247616621644e-10,-0.1916506351286077,59.72465990998319
38.48,13.89,1.24,2.02,2.10594562840752e-6,1.64899640775876e-11,0.2234262284284261,62.05746817530858,2.78601873640667e-6,9.73260631489645e-11,-0.1689309649962261,59.03305814458602
16.39,43.41,0.3,2.54,1.12368242532385e-5,1.73711683019284e-10,0.2128433106089974,60.54623381725781,9.70662255908176e-6,2.23631375873623e-10,-0.2031820935284459,61.363534921294374
32.77,28.2,0.84,1.67,5.37519288577617e-6,3.76734862740394e-11,0.2226995060397828,61.57564465564994,5.81051926657204e-6,9.78375664255668e-11,-0.1917759589484139,59.792589255212384
35.48,75.42,1.34,1.5,1.19600129322589e-5,9.97769433231237e-11,0.2233260314428608,62.30151469123862,1.67509271297785e-5,5.9828118018185e-10,-0.1681934610901404,59.61441042540662
12.62,84.87,0.31,2.64,2.24268567390125e-5,6.15247834070212e-10,0.2079841966987085,62.955478163318546,1.89768379162368e-5,9.63274404778267e-10,-0.1910105514209845,60.33706699509804
23.56,85.78,1.26,1.3,1.69399886779197e-5,1.86308482325663e-10,0.2211765996632795,62.29891230401273,1.8611760064994e-5,8.77314671509317e-10,-0.1734065430855809,59.43374326723587
37.06,92.33,1.28,2.22,1.39375173998263e-5,1.20739554689289e-10,0.2233624810607621,62.61817501571296,1.99628084089301e-5,8.27779922852713e-10,-0.1635307784441635,61.2253696250643
9.03,77.8,0.92,1.61,2.12231990100611e-5,1.08328812667414e-9,0.2040150115960133,63.42476432794548,1.76488184869459e-5,3.18731354991431e-9,-0.1697429918275623,63.205037912642844
10.89,80.95,0.65,1.75,2.19181336670643e-5,5.74403117793097e-10,0.2120506092226548,61.61060014539231,1.81392578411304e-5,1.27401910479234e-9,-0.1864323029964426,61.86184111736041
29.98,70.97,0.68,1.21,1.49957189413004e-5,1.00548227448247e-10,0.2221044592794235,61.20716015593203,1.56210846310671e-5,1.74721972066476e-10,-0.2020208592097899,59.541181009067955
38.73,15.5,1.15,1.81,2.51336065392785e-6,1.78257300843283e-11,0.2236312117603374,61.81612094428146,3.13846645023863e-6,7.18291644384712e-11,-0.1786695902923317,61.24510694501769
44.74,11.16,0.77,2.57,1.82993679498297e-6,1.08865161276314e-11,0.2224674037050806,61.51507692533315,2.15558162506412e-6,2.83801203119896e-11,-0.1910391961624986,59.558254046848575
18.84,48.31,1.45,2.9,9.44290587749857e-6,2.25508121208206e-10,0.2129849982966716,63.13009960445344,1.06595499735158e-5,3.12113520097097e-9,-0.1357773899588598,61.78914637356198
33.04,65.86,1.23,2.69,1.05968769256803e-5,1.05885085563505e-10,0.2211640146132475,62.162831852787484,1.45871578134838e-5,7.27193702807899e-10,-0.1617787912705995,61.698038771630195
44.03,33.23,1.24,1.51,4.88552180374922e-6,3.23273537833111e-11,0.2248499223210111,61.520644706082514,6.91731944120451e-6,1.53421223968293e-10,-0.1755822825609655,60.2320312898538
40.27,23.11,0.48,1.24,4.67700795669462e-6,2.24933895978575e-11,0.2227781115943236,60.32318065413804,4.84093692595287e-6,2.66925301824774e-11,-0.2129810183335262,60.928950801977145
43.41,35.19,0.89,1.4,5.80238129232052e-6,3.29924315572338e-11,0.2244294542138315,60.906377694060055,7.57537387436964e-6,8.04021034007025e-11,-0.1937734598506643,60.45149024726636
20.62,30.9,0.34,1.3,7.99659327579929e-6,6.57796427032249e-11,0.2195975307972196,61.3894723800992,6.89541692240495e-6,6.73320662520078e-11,-0.2154496114882129,61.29669690691383
40.77,57.57,0.9,2.6,9.17972928547941e-6,6.68983291822714e-11,0.221753374355825,62.27870643676501,1.27288694706607e-5,2.31979493980964e-10,-0.180929528600583,60.79768860969269
43.16,61.27,1.16,2.97,8.60899513091409e-6,6.94752329245466e-11,0.2230132740028675,62.60321808778353,1.33831979666012e-5,4.00401121878312e-10,-0.1676713436572961,59.568166313526504
36.08,10.09,0.4,1.37,2.22465398259055e-6,1.07984372934851e-11,0.2228987185891168,60.14187365162224,2.0467743041533e-6,1.07451003164659e-11,-0.2183303096055054,59.72112311476418
37.84,75.78,1.19,1.41,1.22959433106809e-5,8.75451733406403e-11,0.2244179109386673,61.695900497428234,1.69035800477492e-5,3.90730715552122e-10,-0.1765726566163892,60.543220339085465
33.02,51.97,1.13,1.65,9.01640656278103e-6,7.2447259517856e-11,0.2232232827116306,62.11930228317694,1.15274884319181e-5,3.0221458447415e-10,-0.1779104550369554,61.08760710542815
21.66,79.07,0.94,2.81,1.55410386503165e-5,2.31616706020805e-10,0.2169341376408257,61.28517947085629,1.6868053194141e-5,9.44114875895917e-10,-0.1732741061518627,59.61140589553599
19.91,74.07,1.23,2.84,1.47856356316714e-5,2.9115774853026e-10,0.2138043334107124,61.895434305709315,1.6231870448706e-5,2.54305984139201e-9,-0.1490975507863532,62.5661905277744
15.97,16.21,0.94,2.14,3.83656754830539e-6,6.96054634181672e-11,0.2141349803001285,60.68836522115548,3.42619848713601e-6,2.39150394574854e-10,-0.1771659615331825,60.87522618901706
15.97,31.11,0.31,1.87,8.2649350591424e-6,1.02969177641224e-10,0.2164254018484779,61.53384110819463,6.81869348370038e-6,1.09864856946716e-10,-0.2119551467407756,60.48388758816685
42.44,62.52,1.16,2.34,9.00112072288999e-6,6.79519650781691e-11,0.2239763126069521,62.18561898933693,1.35196088318192e-5,3.3738992403709e-10,-0.1731973662752181,59.45857904757879
40.44,73.35,1.27,1.81,1.10454881906083e-5,8.34868634870014e-11,0.2238447408972805,62.144554077299325,1.62237732051339e-5,4.75177501477732e-10,-0.1695828277293626,58.674189257129555
40.44,39.22,0.83,2.21,6.62099333316183e-6,4.3599682666964e-11,0.2222977872905101,61.80529037222797,8.5293958210166e-6,1.23408622671127e-10,-0.1884768907417673,58.75525447714977
14.58,29.11,0.73,2.1,7.24323069044628e-6,1.32218770619542e-10,0.2147841936804432,60.908783161926856,6.22499699649637e-6,3.66642864082788e-10,-0.1843858763667454,62.484980823337686
28.53,22.55,1.48,1.83,3.84428252579011e-6,4.14233175265026e-11,0.2215619442923268,62.26955652081564,4.72271811961107e-6,3.18830186369311e-10,-0.1590194414165031,60.56796069217136
19.13,31.32,1.26,1.25,6.67013684402546e-6,9.15530406217798e-11,0.2192289674348146,61.840651451004284,6.60213252027756e-6,4.8495630946812e-10,-0.1696628845517615,60.526209743115
41.26,80.26,0.66,2.22,1.39371525550885e-5,8.51348218347567e-11,0.2222821905001039,61.533383492342466,1.74151359412373e-5,1.8258605026423e-10,-0.1951493175430684,60.90490049572417
38.18,62.02,0.58,2.62,1.12383977583783e-5,7.45759596546226e-11,0.2212324175378952,61.95073707343436,1.34708898443189e-5,1.49222020338631e-10,-0.1960172174023712,61.24677424001411
24.96,40.45,1.1,1.4,8.08459089882152e-6,7.96509306601261e-11,0.2208901613212821,62.31232817629378,8.92430578876566e-6,2.85496948789519e-10,-0.1803107923188779,61.51661672165078
11.77,25.73,0.29,1.92,7.27744184495739e-6,1.41400005104464e-10,0.2132083817383701,60.67554727600004,5.56568424658074e-6,1.5773498666997e-10,-0.2076387374348961,59.80990918821537
27.35,47.29,0.86,2.71,9.024537863417e-6,9.31999782910692e-11,0.2193828496898288,61.94145481376802,1.0534517638029e-5,3.25985038672301e-10,-0.1788718920242653,61.41875444889009
35.08,19.99,1.41,1.43,3.27866517449693e-6,2.65044902291291e-11,0.2233977173006384,62.22467219167599,4.29116007325844e-6,1.68476465659522e-10,-0.1668114552816595,60.11895775614179
12.44,74.69,0.25,2.54,2.03698987353816e-5,4.9704530524859e-10,0.20920694070359,62.03760567367633,1.64864631812921e-5,7.04419464417546e-10,-0.195618976924417,60.843528529184525
37.23,87.56,0.28,2.43,1.81493513041089e-5,1.02175227192105e-10,0.2205933600730654,61.33439262116511,1.94287805306417e-5,1.1388036823469e-10,-0.2125108674754453,60.84662032580712
12.05,83.35,0.6,1.29,2.27793548590203e-5,4.15189997871114e-10,0.2152326175613372,61.034681572689514,1.89699714883145e-5,7.41429270210255e-10,-0.1960106026325323,60.68824312943769
19.86,17.26,0.61,1.22,4.25964035121922e-6,3.97943849013394e-11,0.2201629507594696,61.87727528804105,3.71178477484455e-6,6.21470312378173e-11,-0.2047068181714849,59.363501362126286
10.21,69.14,1.36,2.89,1.63439509374296e-5,1.84467410289517e-9,0.1946035179862293,67.16292893317025,1.50551434168638e-5,2.3307887829721e-8,-0.1142882894531129,69.18081782149044
19.24,17.34,0.33,2.19,4.40450571312826e-6,4.60419477698763e-11,0.2173667038952926,61.83443571767866,3.70740836615027e-6,5.54756024633916e-11,-0.209149233614728,59.598754138442764
15.58,67.15,1.12,1.23,1.587792242961e-5,2.65033524355777e-10,0.2167806472777829,61.254682573891756,1.50047833387338e-5,1.11181323144937e-9,-0.1742255413346221,59.77513721386527
37.94,69.11,0.64,2.37,1.23786920965981e-5,8.20516474642758e-11,0.2218105854703748,61.800362351556586,1.52746883546696e-5,1.69294487118765e-10,-0.1956479818066321,61.092487718928666
24.2,40.08,0.28,2.35,9.57907206007893e-6,8.13707000691945e-11,0.2177901046835265,61.942907009362656,8.86508719202956e-6,8.55257548391996e-11,-0.2123136705318134,60.72271497161547
9.71,56.77,1.23,2.8,1.38939658272469e-5,1.41548763144063e-9,0.1961022838668551,67.22496058720992,1.26637462880223e-5,1.35365915018415e-8,-0.1247415913697224,67.43159130995858
36.6,39.35,0.89,1.77,6.95013468568417e-6,4.66234607953346e-11,0.2234668193618105,61.527294329511705,8.50465996240383e-6,1.29601652700739e-10,-0.1899320899254066,59.133637262946095
18.7,21.92,1.16,2.96,4.53343701953975e-6,9.10281076765753e-11,0.2139148331200111,61.8608880666284,4.65325377048645e-6,6.45784321197444e-10,-0.1557886110129942,60.93357941278676
27.89,81.54,0.86,2.02,1.5979524893816e-5,1.42966684423839e-10,0.2208627599186427,62.37055505760729,1.82679226286846e-5,4.15302399847154e-10,-0.1861890295298193,59.481970403724524
22.04,46.62,1.1,2.51,9.14980718837101e-6,1.28520787863322e-10,0.218066524968039,61.517266000501806,1.01991302154824e-5,6.49950306381067e-10,-0.168281276282596,60.86639829850556
44.22,55.37,0.94,1.72,8.81459369476409e-6,5.29313187002558e-11,0.2241797180017168,61.30057588385228,1.20795460410362e-5,1.50897517501029e-10,-0.1897144449466505,59.0872181306515
40.85,39.04,1.48,2.04,5.50303322588913e-6,4.59600569337435e-11,0.2236115354338314,62.54383057937342,8.58686027230386e-6,3.85320350490151e-10,-0.1580210401058018,60.243433465237935
21.04,63.26,1.33,1.46,1.27513025062619e-5,1.67860150699028e-10,0.2198739217733371,61.90487028091417,1.41808771620083e-5,9.53592321977697e-10,-0.1667632375902183,61.02121921560087
32.76,24.54,0.89,1.33,4.70044954849522e-6,3.18078155649323e-11,0.2234452267851747,61.30061998707692,5.04486862181834e-6,7.82382449412175e-11,-0.1934085646062803,60.30336833511929
9.91,39.51,1.37,1.28,9.91356161024348e-6,4.64177974483459e-10,0.2081532293951378,64.67413158090633,8.2632469932533e-6,3.30814036201055e-9,-0.1486403507963068,62.81066145679369
44.27,38.15,1.27,1.22,5.70517810644265e-6,3.62199129548547e-11,0.2250742842200087,61.34114884558004,8.23546875227804e-6,1.6360017387033e-10,-0.1770063721741213,60.710926401684866
9.44,83.74,1.1,1.9,2.14263819795788e-5,1.34675443413129e-9,0.2022018585596112,63.57783774136769,1.81455560745532e-5,6.2886555628829e-9,-0.1541460057907134,63.60983751790733
30.87,48.25,1.38,2.8,7.5587933272579e-6,8.74740451364282e-11,0.2210666603158182,62.05864243861259,1.00016142546103e-5,8.33549466669106e-10,-0.1536292511141923,59.63903925454616
