Lch,Wch,Tox1,Tox2,Ion_N,Ioff_N,Vth_N,SS_N,Ion_P,Ioff_P,Vth_P,SS_P
11.54,23.62,0.98,2.1,5.9910802570707e-6,2.0991901936003e-10,0.2085774706022915,64.14480587129978,5.00414722769681e-6,8.76507818348998e-10,-0.1635841755401856,62.02417735423809
36.74,95.86,1.09,2.4,1.52254546367454e-5,1.25525935311633e-10,0.2227465981885382,62.509182691275086,2.14621404385116e-5,6.29296788995713e-10,-0.172654583022826,59.3618399659236
21.91,69.51,1.49,1.86,1.29502770831201e-5,1.93407990151256e-10,0.2192291122266226,61.647227198053,1.54459655806864e-5,1.63002828673634e-9,-0.1550919150613633,59.36823667414099
38.95,68.21,1.27,2.15,1.00389309277892e-5,8.34358120914598e-11,0.2234370067251464,62.452944503584156,1.45926876349627e-5,5.06478528812317e-10,-0.1668176466947743,59.78272723619846
42.58,79.24,0.66,2.15,1.35026830441985e-5,7.95528557808903e-11,0.2229601225420209,61.32696901783707,1.7190794031482e-5,1.56984956081079e-10,-0.1980241084112399,60.837175077217445
22.47,64.66,0.61,1.92,1.4738080923863e-5,1.40691736302754e-10,0.2197725960005531,62.261347558632174,1.44274507016532e-5,2.44512442776807e-10,-0.1998339381453497,61.07116260774749
9.23,82.92,1.15,1.5,2.20346771147498e-5,1.32114804007397e-9,0.2014616388778658,63.02155530805201,1.87473030141884e-5,5.58540216990601e-9,-0.1565635346724302,62.533171395765
27.99,27.51,1.43,1.56,4.87795473522281e-6,4.97424090268076e-11,0.222095267249708,62.45347202365276,5.77040098502098e-6,3.38852703293791e-10,-0.1628353407966972,61.530356975578336
27.71,56.85,0.84,1.36,1.17041048828484e-5,9.12147802902199e-11,0.2224366527027646,61.72287930327224,1.25700938488857e-5,2.12424802306058e-10,-0.1935025020071665,60.25211179403034
27.71,22.63,1.25,2.11,4.10977301121843e-6,4.28875344988615e-11,0.2208304839067602,62.18789218943697,4.82068062012951e-6,2.35595309840599e-10,-0.1681800547996779,59.94384772896898
