DeepMLP (SiLU/16) | L:0.2 W:100 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08474 (Epoch 1090)
DeepMLP (SiLU/16) | L:0.2 W:50 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08474 (Epoch 1090)
DeepMLP (SiLU/16) | L:0.2 W:150 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.08474 (Epoch 1090)
ResNet (ELU/16) | L:0.5 W:150 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.08475 (Epoch 1930)
ResNet (ELU/16) | L:0.5 W:50 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.08478 (Epoch 2010)
ResNet (ELU/16) | L:0.5 W:100 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.08483 (Epoch 1980)
ResNet (ELU/16) | L:0.5 W:50 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08486 (Epoch 2030)
ResNet (ELU/16) | L:0.5 W:150 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.08488 (Epoch 2040)
ResNet (ELU/16) | L:0.5 W:100 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08489 (Epoch 2060)
ResNet (ELU/16) | L:0.5 W:150 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08489 (Epoch 2060)
DeepMLP (SiLU/16) | L:0.5 W:50 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.08496 (Epoch 1350)
DeepMLP (SiLU/16) | L:0.5 W:100 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.08500 (Epoch 1360)
ResNet (ELU/16) | L:0.2 W:50 R:200 LR:0.0005 WD:1e-05 --> Test Loss: 0.08501 (Epoch 3000)
ResNet (ELU/16) | L:0.2 W:100 R:200 LR:0.0005 WD:1e-05 --> Test Loss: 0.08501 (Epoch 3000)
DeepMLP (SiLU/16) | L:0.5 W:150 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.08502 (Epoch 1330)
ResNet (ELU/16) | L:0.2 W:150 R:200 LR:0.0005 WD:1e-05 --> Test Loss: 0.08502 (Epoch 3010)
ResNet (ELU/16) | L:0 W:50 R:200 LR:0.0005 WD:1e-05 --> Test Loss: 0.08503 (Epoch 2880)
ResNet (ELU/16) | L:0 W:50 R:600 LR:0.0005 WD:1e-05 --> Test Loss: 0.08503 (Epoch 2880)
ResNet (ELU/16) | L:0 W:50 R:1000 LR:0.0005 WD:1e-05 --> Test Loss: 0.08503 (Epoch 2880)
ResNet (ELU/16) | L:0 W:100 R:200 LR:0.0005 WD:1e-05 --> Test Loss: 0.08503 (Epoch 2880)
ResNet (ELU/16) | L:0 W:100 R:600 LR:0.0005 WD:1e-05 --> Test Loss: 0.08503 (Epoch 2880)
ResNet (ELU/16) | L:0 W:100 R:1000 LR:0.0005 WD:1e-05 --> Test Loss: 0.08503 (Epoch 2880)
ResNet (ELU/16) | L:0 W:150 R:200 LR:0.0005 WD:1e-05 --> Test Loss: 0.08503 (Epoch 2880)
ResNet (ELU/16) | L:0 W:150 R:600 LR:0.0005 WD:1e-05 --> Test Loss: 0.08503 (Epoch 2880)
ResNet (ELU/16) | L:0 W:150 R:1000 LR:0.0005 WD:1e-05 --> Test Loss: 0.08503 (Epoch 2880)
ResNet (ELU/16) | L:0.2 W:50 R:600 LR:0.0005 WD:1e-05 --> Test Loss: 0.08503 (Epoch 3030)
ResNet (ELU/16) | L:0.2 W:100 R:600 LR:0.0005 WD:1e-05 --> Test Loss: 0.08503 (Epoch 3020)
ResNet (ELU/16) | L:0.2 W:150 R:600 LR:0.0005 WD:1e-05 --> Test Loss: 0.08503 (Epoch 3030)
ResNet (ELU/16) | L:0.2 W:50 R:1000 LR:0.0005 WD:1e-05 --> Test Loss: 0.08504 (Epoch 3050)
ResNet (ELU/16) | L:0.2 W:100 R:1000 LR:0.0005 WD:1e-05 --> Test Loss: 0.08504 (Epoch 3020)
ResNet (ELU/16) | L:0.5 W:50 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.08504 (Epoch 1790)
ResNet (ELU/16) | L:0.2 W:150 R:1000 LR:0.0005 WD:1e-05 --> Test Loss: 0.08505 (Epoch 3010)
DeepMLP (SiLU/16) | L:0.5 W:50 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.08505 (Epoch 1340)
DeepMLP (SiLU/16) | L:0.5 W:100 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.08506 (Epoch 1320)
ResNet (ELU/16) | L:0.5 W:100 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.08507 (Epoch 1790)
DeepMLP (SiLU/16) | L:0.5 W:150 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.08508 (Epoch 1330)
ResNet (ELU/16) | L:0.5 W:150 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.08509 (Epoch 1750)
ResNet (ELU/16) | L:0.5 W:50 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.08511 (Epoch 1740)
ResNet (ELU/16) | L:0.5 W:50 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.08511 (Epoch 1720)
ResNet (ELU/16) | L:0.5 W:100 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.08512 (Epoch 1710)
ResNet (ELU/16) | L:0.5 W:100 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.08512 (Epoch 1720)
ResNet (ELU/16) | L:0.5 W:150 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.08512 (Epoch 1720)
ResNet (ELU/16) | L:0.5 W:150 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.08513 (Epoch 1760)
DeepMLP (SiLU/16) | L:0.5 W:150 R:200 LR:0.001 WD:0.0001 --> Test Loss: 0.08514 (Epoch 1380)
