size,test_mse,seed
131,0.13858412206172943,13146
131,0.15070295333862305,13147
131,0.16762639582157135,13150
131,0.12756898999214172,13148
131,0.11964517086744308,13149
131,0.12938696146011353,13151
151,0.13349084556102753,15143
151,0.14921806752681732,15142
151,0.1284339874982834,15145
151,0.10922055691480637,15144
151,0.13301150500774384,15146
151,0.13437023758888245,15148
151,0.16880148649215698,15149
151,0.12876950204372406,15147
151,0.1382613480091095,15151
151,0.11700086295604706,15150
456,0.10644634813070297,45642
456,0.09453196078538895,45643
456,0.09718315303325653,45645
456,0.09533092379570007,45644
456,0.11610615998506546,45647
456,0.10936958342790604,45648
456,0.089873306453228,45646
456,0.10096899420022964,45649
456,0.10735606402158737,45650
456,0.10084546357393265,45651
794,0.09112565219402313,79442
794,0.09431017935276031,79443
794,0.09216304123401642,79444
794,0.08673404902219772,79446
794,0.08715212345123291,79445
794,0.09364533424377441,79447
794,0.09379894286394119,79448
794,0.08933534473180771,79449
794,0.0918499156832695,79450
794,0.09506622701883316,79451
262,0.12349005788564682,26242
262,0.1159786656498909,26245
262,0.12021344900131226,26243
262,0.10916303098201752,26244
262,0.10776200890541077,26247
262,0.1274542510509491,26246
262,0.12871307134628296,26249
262,0.10287540405988693,26248
262,0.1216910108923912,26250
262,0.12432866543531418,26251
1047,0.08790931850671768,104742
1047,0.08943966031074524,104743
1047,0.08873139321804047,104744
1047,0.0867011547088623,104745
1047,0.08709266781806946,104746
1047,0.08738595247268677,104747
1047,0.09265395998954773,104748
1047,0.08909593522548676,104749
1047,0.08944115042686462,104750
601,0.08852021396160126,60142
1047,0.0916784405708313,104751
601,0.09100429713726044,60143
601,0.09771071374416351,60145
601,0.09375613182783127,60144
601,0.09935761243104935,60146
601,0.09134489297866821,60147
601,0.10150519013404846,60148
601,0.08889088034629822,60149
601,0.09570781141519547,60151
601,0.09963961690664291,60150
345,0.10742361843585968,34543
345,0.09667330980300903,34542
345,0.10592502355575562,34544
345,0.10700403898954391,34545
345,0.0993286669254303,34546
345,0.11146535724401474,34547
345,0.11018533259630203,34549
345,0.11335385590791702,34550
345,0.11202205717563629,34548
345,0.1060769334435463,34551
198,0.12779919803142548,19843
198,0.10337255150079727,19842
198,0.12246496230363846,19844
198,0.11915222555398941,19845
198,0.12323375046253204,19846
198,0.12628604471683502,19848
198,0.15327921509742737,19849
198,0.1148725152015686,19847
198,0.1285545527935028,19850
198,0.15380406379699707,19851
227,0.12598173320293427,22742
227,0.10780263692140579,22743
227,0.11494731903076172,22744
227,0.12108161300420761,22745
227,0.10748548060655594,22747
227,0.10860021412372589,22746
227,0.09414273500442505,22748
